ACTIVITY,TIME,SL,EEG,BP,HR,CIRCLUATION
2,7116.62,9408.3,-3216.58,19,138,554
4,12396.4,63430.3,-3.94E+03,30,223,2822
0,7296.03,11115,-1501,28,104,454
5,7346.15,7311.09,-1.00E+03,157,109,486
5,9442.92,27087.6,-1.64E+03,19,166,1414
0,7723.89,10650,-2493,31,137,555
2,10443.8,37776.8,-4162,128,205,1751
4,8318.34,9303.39,-2807.07,22,138,554
0,13789.8,51294,-4580,49,260,2198
4,10074.1,51315.7,-2.92E+03,28,188,2599
3,14450.1,141377,-6088.35,173,308,6057
5,9378.16,37976.4,-3799.92,38,180,2054
3,6056.01,7401.87,-1576.64,51,93,545
3,7720.79,9479.92,-2451.65,15,123,621
0,8826.31,15087,-4600,35,157,889
2,8632.54,10519.2,-2883.01,96,139,587
0,18097.1,447557,-11461,67,456,15861
0,13493.6,54449,-5902,35,248,2398
2,11336.2,35581.1,-1.06E+01,42,234,1581
4,5057.08,3930.71,-1267.04,8,72,340
2,13181.6,51268.2,-3.42E+03,41,234,2464
5,8662.79,4666.57,-2594.47,33,131,271
3,7473.14,14095,-2354.46,96,120,809
2,6935.58,9992.07,-3.01E+03,54,105,649
0,14194.9,73977,-5182,36,299,3379
0,9408.54,9499,-2491,25,103,344
2,10342.9,71981.5,-4.55E+03,25,249,3630
0,7816.61,21418.4,-2789.92,82,139,1108
3,10053.6,10538.6,-2.13E+03,36,154,587
2,3832.07,1448.62,-969.618,37,52,133
2,3810.25,2199.02,-1123.68,19,54,165
4,7938.3,12840.7,-2739.81,15,132,806
0,6082.44,9156,-3039,17,100,651
3,14577.1,141362,-4.73E+03,43,315,5844
3,6501.55,10321.3,-3.48E+03,15,109,689
0,7424.84,13150,-3447,14,131,807
2,5618.37,4257.58,-8.35E+02,14,88,292
0,9325.69,31956,-3774,36,193,1643
0,17418.4,136908,-7619,78,351,5325
2,16361.5,160109,-7623.56,73,352,6744
3,9278.6,39095.3,-2.19E+03,16,196,1885
5,11238.7,24231.9,-3.53E+03,34,182,1212
0,7541.56,13859,-3866,13,141,928
4,7737.54,27383.8,-2886.97,91,156,1521
0,8095.8,9323,-899,27,135,556
3,21958.2,183308,-4.57E+03,84,403,6746
0,13901.7,146542,-8242,50,326,5954
1,11365.1,68787.9,-5227.6,147,247,3373
0,8210.23,17627,-3871,167,135,888
0,13968.3,95197,-5120,43,294,4063
0,17520.5,163450,-6937,89,368,5963
1,5704.48,4818.5,-1.34E+03,23,85,343
0,19405,191253,-10477,70,430,6866
4,11326.5,36370.7,-4.01E+02,37,166,1111
2,9869.24,24602.2,-3.70E+02,15,166,1111
3,8401.29,26143.6,-3.13E+03,25,156,1364
0,17511.5,156749,-8049,38,364,5018
4,8827.49,16902.6,-4028.75,67,172,973
4,18631.2,161589,-1.09E+04,85,388,6290
0,15358.8,136881,-6509,52,329,4725
3,13155.6,60788.8,-5.72E+03,27,247,2754
0,9980.23,38245,-5814,122,200,1753
5,7706.02,9022.32,-1.67E+03,22,102,516
4,20638.9,201487,-6.57E+03,49,390,7459
0,10285.8,19381,-3283,74,124,622
5,8991.83,38051.3,-3708.59,43,180,2054
3,7165.34,14822.2,-2525.86,51,134,970
0,5479.96,6157,-2741,6,97,395
2,11144,50141.1,-5.10E+03,25,216,2677
4,8335.12,11047.6,-3111.05,33,156,654
0,5510.91,2945,-2456,18,80,226
0,4834.25,1458,-1637,6,78,102
0,8577.57,16383,-2204,24,154,891
1,5855.3,4718.89,-1.29E+03,23,85,343
3,14018.7,140903,-3.84E+03,53,315,5844
5,9121.12,16306.5,-3207.34,85,172,973
4,18248.9,198621,-7.20E+03,51,390,7459
3,12319.5,78852.1,-6.58E+03,59,272,3539
0,8939.38,21043,-3563,40,149,1019
4,14488,97298.6,-5670.54,50,294,4249
1,4087.01,2227.55,-1120.23,20,54,165
0,26583.3,309356,-15417,114,585,9559
3,11902.1,46875.7,-5.51E+03,23,215,2188
3,10101.6,37727.2,-3769.87,40,193,2118
4,11380.6,41347.3,-2.13E+03,40,166,1414
3,12705,60222.6,-6.24E+03,23,247,2754
0,12232,100285,-6058,48,278,4429
0,19868.9,164865,-8930,58,400,5025
2,6476.38,13118.7,-1611.58,29,96,804
4,15204.6,141883,-5.09E+03,72,315,5844
2,20959,176374,-9.30E+03,98,449,5537
5,12183.8,71543.9,-5161.34,55,262,3211
0,7929.26,8568,-2136,66,154,553
3,10954.1,85561.1,-3.27E+03,21,220,3450
4,3925.72,2797.49,-1414.3,32,67,224
0,9180.52,39240,-3490,48,183,2054
0,7297.55,14181,-3814,8,131,804
3,6374.94,7457.23,-1450.34,48,93,545
0,17447.6,113186,-12061,106,440,4637
4,11014.8,24391.3,-3.36E+02,28,166,1111
2,4037.77,2194.64,-1080.14,20,54,165
2,4085.38,2169.89,-1068.1,20,54,165
0,8933.56,31793,-2937,39,173,1868
2,15797.3,162964,-7738.85,89,352,6744
0,12574.7,57889,-5598,166,262,2326
3,8276.14,25338.7,-3191.52,35,157,1519
3,10900.6,85442.4,-1.47E+03,18,220,3450
3,13044.9,90516.9,-5.39E+03,49,254,3885
3,8176.37,10494.7,-3035.92,89,139,587
0,11827,69474,-4997,39,237,3127
4,15121.4,61674.1,-6710.24,154,305,2610
0,9432.26,25734,-4786,24,165,1411
4,9070.02,20594.1,-3429.72,94,163,1162
3,7499.46,14128.6,-2337.68,96,120,809
2,7739.17,9287.59,-3058.46,16,138,554
4,6892.63,4089.94,-2351.07,71,101,249
2,5192.89,4264.28,-1.32E+03,10,79,317
4,9363.17,13639.6,-2868.08,10,148,729
0,9134.73,18311,-4736,29,170,1026
3,7995.56,9363.47,-3065.99,18,138,554
0,7153.89,12360.1,-3192.38,80,130,694
2,12399.1,73888.6,-4.31E+03,19,249,3630
4,1954.23,55.5372,-3.68E+02,97,33,5
0,17450,120164,-7539,66,347,4535
0,12024.5,19634,-3361,86,167,973
4,13413,46643.3,-5735.43,65,273,2061
2,5325.98,3491.26,-809.996,50,51,132
4,9791.21,26618,-3345.02,32,174,1415
3,6850.05,13320.5,-1528.1,22,96,804
0,9861.15,55495,-5279,170,212,2674
4,12641.8,60984.1,-4.34E+03,43,247,2754
3,9915.8,49426.1,-6.66E+03,22,216,2677
2,4611.41,2948.82,-1167.26,25,71,249
0,5388.83,3355,-1810,18,83,270
3,13345.7,51247.7,-3.59E+03,44,234,2464
1,11126.4,68859.3,-5165.71,145,247,3373
3,13181.2,46619.4,-5908.06,68,273,2061
5,14610.9,95162.3,-5509.27,46,294,4249
2,5304.84,3020.68,-1198.93,51,67,224
4,7126.8,4070.98,-2265.05,70,101,249
0,7481.51,4842,-3041,135,103,267
0,7853.09,7527,-2901,28,124,371
2,8889.54,27174.2,-2.40E+03,32,156,1364
5,5547.39,7039.64,-1719.52,48,93,545
4,10702.7,38074.9,-3744.36,36,193,2118
0,19508.6,334969,-11189,279,495,11582
4,10243.2,34611.9,-8.67E+02,31,166,1111
3,11209.2,85910.7,-3.66E+03,18,220,3450
3,2598.31,52.1738,1.90E+02,92,33,5
0,8878.09,27349,-5099,96,172,1629
2,5268.54,4271.53,-1.37E+03,8,79,317
0,4270.42,1867,-2205,37,62,163
4,13732.2,143402,-6205.81,161,308,6057
3,18760.5,160730,-7.02E+03,64,388,6290
0,8056.15,10228,-4708,277,142,620
2,13203.7,69333.2,-4348.41,108,247,3373
3,5176.78,4223.71,-1.47E+03,16,79,317
4,9457.39,13628.1,-2831.63,18,148,729
5,13524.4,51912.6,-3795.64,55,288,2334
3,13085.6,61252.1,-5.97E+03,31,247,2754
1,2453.41,52.188,-5.38E+02,6,33,5
0,6824.43,8410,-2171,29,106,519
4,25999.3,481586,-1.21E+04,88,483,15505
4,5128.68,3000.12,-1209.4,42,67,224
5,14674.5,79489.9,-6789.49,121,320,3466
0,22631.4,167888,-5381,85,356,5958
3,13479.2,90547.2,-5.12E+03,45,254,3885
3,18254.4,160502,-1.03E+04,90,388,6290
3,13211.7,50781.2,-3.17E+03,34,234,2464
1,9192.28,17336.1,-4222.25,35,183,931
4,9301.59,28691.7,-3371.9,35,179,1626
0,10043.5,27591,-3517,53,176,1310
0,8495.3,15634,-4086,45,169,932
0,36924.6,1557190,-18151,178,819,34369
0,13089.1,79280,-4448,44,260,3296
3,14107.6,55699.1,-4.46E+03,33,215,2188
0,15505.6,93179,-7544,53,323,3632
0,9624.16,32837,-4625,195,137,1624
4,8203.14,4449.45,-2688.67,30,131,271
2,4357.34,2254.9,-996.106,22,54,165
0,21309.3,308967,-11106,99,487,10388
5,9543.74,30828.8,-3128.2,91,171,1747
1,8769.86,16887.3,-4303.32,35,183,931
5,9219.75,30515.1,-3452.94,129,171,1747
4,5028.34,1510.35,-736.745,23,51,102
0,6576.86,15744.6,-2460.96,72,118,971
5,3416.3,1909.66,-610.946,8,43,161
4,16411.4,109322,-6.91E+03,52,322,4619
0,25489.3,546061,-17055,58,609,15345
0,8332.77,30412,-4810,29,159,1518
0,12748.2,78968,-5619,31,258,3624
0,13209,116763,-5828,55,313,4728
1,5688.74,5146.01,-1.83E+03,23,85,343
4,10166.4,35546.7,-4347.69,122,208,1691
2,6491.18,5285.35,-1.26E+03,8,79,292
2,21865,468673,-1.45E+04,65,483,15505
4,8178.44,4565.62,-2668.4,30,131,271
4,9301.13,11107,-2902.05,36,156,654
5,8880.13,28932,-3451.67,33,179,1626
3,2743.05,95.7045,8.07E+01,92,33,5
5,13414,95844.9,-5761.78,46,294,4249
0,4501.47,3150,-1831,13,64,246
3,4729.27,3297.96,-1195.32,36,71,249
4,14318.3,52648.4,-3.74E+03,41,234,2464
2,4204.62,1920.41,-1085.24,7,63,166
0,6938.7,6583,-3054,28,134,430
4,10191.9,35308.3,-4340.29,123,208,1691
4,9834.53,35476.7,-4296.77,119,208,1691
4,8118.64,12935,-2704.05,15,132,806
4,6654.23,8645.74,-2.44E+03,21,102,516
2,5518.79,4285.92,-7.31E+02,11,79,317
4,14615.8,78989.2,-7356.71,64,320,3466
4,12712.8,46402.4,-5926.42,64,273,2061
3,9065.21,13786.2,-2965.35,13,148,729
0,9856.84,20391,-4116,22,182,1209
3,23306.2,256899,-1.02E+04,68,540,8870
0,14748,150755,-11214,244,328,5959
0,7858.98,20495,-4000,46,153,1210
0,8559.59,15566,-3818,84,149,810
0,14253.5,80859,-7864,74,299,3464
4,7498.38,26211.7,-2979.97,95,156,1521
0,12648.5,175608,-6053,86,296,7449
4,5208.49,4604.75,-1.67E+03,24,88,292
3,10812.5,50073.9,-4.50E+03,20,216,2677
5,7790.46,4795.08,-2711.1,33,131,271
4,5665.15,2225.74,-1448.77,29,82,185
5,11709.7,54376.9,-4344.76,100,209,2534
2,5864.98,4202.93,-1410.61,125,88,318
0,9988.74,24152,-5247,67,200,1264
4,9275.61,29521.5,-2766.74,82,156,1521
3,6747.84,10371.4,-3.35E+03,15,109,689
0,7182.97,11307,-1738,25,127,694
4,15318.9,96277.6,-5.69E+03,60,254,3885
5,13151.8,78424.2,-4.97E+03,58,272,3539
0,10663,60648,-5207,36,217,2673
0,10140.8,36075,-3985,28,218,1641
5,7394.28,9011.31,-1866.45,74,107,517
0,8004.08,7714,-2038,75,126,458
4,22559.3,515535,-11551.2,150,540,18067
2,15979.5,83480.6,-1.93E+03,61,223,2059
0,21859.2,316179,-11335,102,467,10104
4,9057.88,23917.4,-2818.99,20,154,1252
3,10436,49491.2,-5.44E+03,22,216,2677
4,5884.35,10842.8,-1887.45,19,102,764
3,11292.1,50656.5,-5.08E+03,18,216,2677
3,11182.7,49091.1,-5.14E+03,20,216,2677
3,11139.7,28616,-1.62E+03,36,166,1414
3,12334.8,90901.5,-5.89E+03,47,254,3885
4,9175.55,14126.5,-2659.8,31,148,729
2,17448.5,161929,-7367.33,67,352,6744
5,23157.9,279303,-9737.08,67,468,9276
4,8593.37,12262.6,-2799.7,89,136,619
0,8394.2,23530,-4726,15,161,1312
3,4206.23,1933.1,-1062.75,7,63,166
3,24083.3,250216,-9.53E+03,94,537,8350
2,7256.11,4374.59,-2.31E+03,12,86,205
3,8179.62,16518.6,-2829.25,77,142,844
2,8626.34,25223.7,-3165.86,28,157,1519
2,9823.95,42763,-3013.96,97,159,2181
5,5715.32,2284.09,-1407.75,14,82,185
0,17112.4,219956,-13390,19,366,8086
4,12950,142943,-5.27E+03,50,315,5844
5,5424.7,1797.18,-1429.71,19,76,147
2,5997.32,7042.8,-1643.86,46,93,545
1,6457.93,5279.95,-2.25E+03,9,79,292
4,7226.2,4056.08,-2200.97,65,101,249
0,18551.6,236433,-11996,235,439,8735
3,12981.3,78648,-5.45E+03,63,272,3539
4,5960.68,11248.8,-1938.34,25,102,764
2,10608.2,55531.5,-3.90E+03,62,224,2192
4,22888.9,516898,-10989,130,540,18067
2,11140.6,49305.6,-4.31E+03,26,216,2677
4,8917.61,38458.3,-3914.55,44,180,2054
4,10672.9,39658.5,-3929.78,26,193,2118
4,16822.3,111404,-6.99E+03,44,322,4619
2,11004.7,68489.8,-5152.41,149,247,3373
2,4605.12,4243.34,-2.16E+03,10,79,317
2,5761.34,7513.26,-1807.58,72,104,457
3,21315,342133,-4.79E+03,99,462,11563
0,11046.1,40932,-3835,43,182,2051
0,12215.5,45237,-6606,53,217,1813
5,7104.21,7859.11,-2.14E+03,147,109,486
5,8577.95,20305.5,-3415.05,79,163,1162
5,22931.7,280625,-9585.27,73,468,9276
4,6708.7,6613.3,-2.16E+03,15,119,395
0,6266.27,6973,-3852,58,98,426
0,14760.8,39741,-3247,37,206,659
3,13497.4,51154.5,-4.25E+03,40,234,2464
4,20950.4,192094,-6.90E+03,74,403,6746
0,8392.08,11848.7,-2422.11,9,117,519
0,11071,32766,-5960,29,193,1637
3,7892.35,11714.6,-2658.38,86,128,693
5,4036.11,1371.04,-971.03,33,51,102
0,13805.7,132816,-8170,38,296,5424
4,4891.96,3149.92,-1244.23,51,67,224
3,5168.09,4399.88,-1.23E+03,23,88,292
5,9536.27,27018,-1.82E+03,26,166,1414
5,3841.49,2210.73,-560.062,5,43,161
4,9853.08,32825.5,-3412.71,91,176,1922
4,10350.5,51311.8,-2.64E+03,18,188,2599
0,12392,111222,-7546,40,310,5318
0,8467.42,16539,-4180,49,149,889
4,12669.6,46419.8,-5917.87,55,273,2061
4,7884.15,12840,-2703.72,15,132,806
1,5259.12,4404,-1.84E+03,21,85,343
3,7316.05,14012.4,-2389.42,88,120,809
3,8709.11,26631.2,-2.36E+03,27,156,1364
4,14169.2,61001.4,-5.04E+03,38,215,2188
4,5837.57,7145.25,-1622.43,45,93,545
5,5706.75,1701.63,-1365.01,21,76,147
2,11542.5,36002.9,-4.10E+03,26,234,1581
0,9126.3,24327,-1205,79,175,1360
4,10288.3,40039.8,-3.26E+03,17,196,1885
4,6316.49,7443.83,-1595.74,48,93,545
3,10077.4,40387.6,-3.11E+03,22,196,1885
2,5731.29,7706.91,-1816.5,74,104,457
2,14095,59440.8,-6636.81,156,305,2610
0,7581.81,8907,-3860,39,103,428
1,3997.74,2174.12,-1109.01,20,54,165
0,6479.81,8759,-2797,23,114,584
0,8999.55,18926,-3351,22,156,1068
2,16434.7,161000,-7532.74,66,352,6744
1,8827.62,16824,-4256.86,34,183,931
4,22538.5,515854,-11626,146,540,18067
4,8893.52,20521,-3473.23,93,163,1162
2,5416.49,3426.5,-766.079,45,51,132
4,11754,60194.2,-3.50E+03,44,223,2822
5,6190.68,8051.45,-1.94E+03,157,109,486
0,10514.7,32425,-5082,17,210,1525
3,13623.1,53848.4,-3.14E+03,62,224,2192
4,9357.75,13461.5,-2820.51,25,148,729
4,12991.2,81987.5,-5.34E+03,41,272,3539
0,19041.9,226347,-9737,79,397,8735
0,14674.9,150748,-8748,73,398,6070
2,3966.63,2179.37,-1116.72,20,54,165
3,10390.4,37688.6,-3.05E+03,36,196,1997
4,12991.3,74328.9,-5536.55,53,262,3211
0,10522.8,29021,-3790,31,206,1418
2,3496.01,1290.25,-670.129,33,40,100
2,5661.36,7625.5,-1873.76,76,104,457
0,11524.9,61322,-4701,80,203,2671
2,5024.23,4206.15,-1.17E+03,13,79,317
1,9052.64,17210.4,-4296.71,35,183,931
3,11539.3,114932,-1.79E+03,45,235,4905
0,9844.34,18248,-5575,101,205,939
2,11799.1,33557,-9.74E+02,41,234,1581
3,18492.3,160740,-8.86E+03,90,388,6290
3,6785.53,13299.9,-1551.81,20,96,804
4,8115.37,16752.6,-2921.83,79,142,844
3,6769.93,10370,-3.27E+03,15,109,689
2,13688.7,50895.5,-4.09E+03,33,234,2464
2,16553.4,140389,-1.12E+04,97,449,5537
3,13760.9,142108,-6186.14,168,308,6057
0,6857.45,4171,-2890,15,100,269
0,21625.9,333010,-11069,101,415,9262
4,8861.66,28107.4,-3.32E+03,32,166,1414
4,8629.8,26660.5,-2.72E+03,35,166,1414
3,2318.9,50.1853,-5.22E+02,92,33,5
4,18038.5,197109,-8.96E+03,49,390,7459
2,9941.73,50977,-4.33E+03,59,224,2192
0,12703.5,56475,-4502,49,278,2752
4,11464.2,56470.8,-4.80E+03,48,223,2822
0,8254.06,17259.1,-3144.41,88,142,844
3,10780.1,49893.9,-4.41E+03,18,216,2677
3,11122.9,85167.9,-3.07E+03,18,220,3450
5,10164.2,22259.2,-2.69E+03,37,182,1212
0,7310.28,15253,-2289,57,129,977
1,9606.93,17183.8,-4008.93,35,183,931
3,7602.64,15173.6,-2715.68,69,134,970
3,21107.1,192443,-4.86E+03,71,403,6746
4,9602.05,38049.9,-3746.45,45,180,2054
4,9071.08,11244,-3004.7,28,156,654
0,16308.7,255421,-9490,232,353,9804
4,22571.7,515822,-11464.3,137,540,18067
0,9157.57,30701,-5083,44,178,1746
5,7728.28,12069.8,-2754.49,83,130,694
2,5243.31,4384.34,-1.38E+03,17,88,292
4,11157.6,52731.2,-3.86E+03,53,224,2192
4,7813.86,12827.2,-2743.67,15,132,806
0,18881.1,330919,-8165,49,396,11114
5,9389.13,30621.6,-3255.9,123,171,1747
2,6162.4,7403.12,-1626.62,50,93,545
3,9506.32,10088,-2.44E+03,40,154,587
5,9449.44,38167.3,-3670.58,42,180,2054
3,24890.9,275825,-1.01E+04,120,537,8350
4,9921.12,17437.8,-3818.82,74,172,973
3,6476.27,5093.88,-2250.39,49,107,346
3,15802.9,110505,-6.06E+03,39,322,4619
2,10521.7,33117.8,-4.43E+03,44,234,1581
4,14072.7,99843.5,-5909.66,171,281,4061
2,2389.95,65.0214,-3.09E+02,96,33,5
2,11687,36304,-3.09E+03,24,234,1581
1,5847.75,4834.74,-1.19E+03,22,85,343
0,4885.26,7598,-1470,9,88,582
2,8836.05,24966.5,-3117.13,33,157,1519
5,8641.7,25800.3,-2.65E+03,49,156,1364
0,18598.7,182731,-10307,172,356,5539
0,9399.43,10367,-3923,34,159,584
5,6618.12,12585.4,-1664.56,39,105,765
0,12407.7,29752,-4475,24,176,1021
2,11149.8,37871.4,-3575.04,120,205,1751
1,2480.83,52.5249,-6.25E+02,6,33,5
4,9360.19,51489.3,-3.09E+03,37,188,2599
0,8707.77,31938,-5842,35,159,1691
2,4023.82,2268.91,-1094.2,20,54,165
5,6682.57,8567.68,-1.64E+03,21,102,516
4,24207,256198,-1.25E+04,80,540,8870
0,6042.7,3197,-3861,15,127,270
4,7842.01,12857.4,-2806.85,15,132,806
2,5599.2,3544.91,-769.92,47,51,132
2,9034.63,20818.6,-1435.04,0,163,1162
0,14194.4,101990,-6909,33,314,4521
0,14779.6,104331,-7776,49,333,4529
2,5720.32,7659.37,-1845.05,72,104,457
1,9072.83,17185.7,-4270.5,36,183,931
3,9762.67,17428.3,-3835.53,81,172,973
0,9617.97,25660,-3086,26,168,1309
5,12909.9,45154.6,-5885.62,57,273,2061
0,8240.49,20802,-4778,32,175,1171
2,12418.3,74810.2,-4.01E+03,26,249,3630
3,11248.6,85695.5,-2.72E+03,19,220,3450
0,10224.9,44653,-4063,104,208,2324
0,8464.84,17733,-4715,12,148,850
4,7101.88,10461,-2.47E+03,20,109,689
2,21322.5,171198,-7.80E+03,118,449,5537
0,6410.8,7012,-2129,18,113,483
0,7915.85,10808,-2180,27,133,554
4,13452,46846.2,-5802.85,66,273,2061
4,4901.12,1105.71,-756.547,31,51,102
4,9418.5,25769.5,-3342.03,39,174,1415
5,14768,79585.3,-6997.85,67,320,3466
0,11571.2,66692,-5682,47,257,3132
2,6607.23,12085.7,-1808.59,8,105,765
0,7700.4,18030,-1884,51,138,1024
0,4669.66,3552,-2274,44,75,271
0,10778.3,35403,-4467,167,202,1523
2,7813.39,9454.41,-3050.97,100,130,490
2,18319.5,161133,-6563.89,77,352,6744
3,11032.8,87581.3,-2.50E+03,16,220,3450
0,17269.4,144801,-10782,80,397,5853
1,10852.6,69867.2,-5398.66,134,247,3373
5,9676.17,52338.7,-2.50E+03,23,188,2599
3,13586.8,92442.1,-4.60E+03,74,254,3885
0,10819.3,58753,-4579,40,246,2978
4,9712.34,34465.4,-3595.43,70,176,1922
0,15580,115660,-7995,156,333,3634
2,19535.4,147409,-9.97E+03,65,449,5537
2,10816.1,53595.3,-3.98E+03,66,224,2192
4,6039.22,7258.66,-1584.2,48,93,545
5,11691.9,71223.4,-6192.81,33,262,3211
0,5278.68,7006,-1344,5,87,479
4,13111.9,79589.1,-4.07E+03,49,272,3539
3,5867.66,7577.67,-1884.85,67,104,457
5,9270.85,38073,-3821.8,38,180,2054
0,7712.93,27308,-2427,38,166,1522
0,13346.2,49372,-3259,53,274,1813
0,10414.9,69386,-4704,74,220,3530
0,13343.3,158569,-7545,29,283,6727
4,5675.8,11126.8,-1890.28,28,102,764
0,6631.09,10245,-2231,36,121,619
2,12223.5,50867.2,-4.99E+03,37,234,2464
5,6962.62,8504.54,-1.56E+03,19,102,516
0,5928.1,11002,-2326,48,104,764
4,9769.64,32445.3,-3482.12,87,176,1922
4,9737.96,25849.3,-3397.6,29,174,1415
3,13258.4,91207.7,-5.42E+03,55,254,3885
0,12799,69920,-6881,63,265,3053
3,13571.5,49574.5,-5.76E+03,20,215,2188
3,9615.24,16937.7,-3927.52,82,172,973
5,10105.8,33967.9,-3514.1,95,176,1922
4,16563.6,110065,-5.10E+03,37,322,4619
3,9606.91,26544.1,-2.44E+03,13,166,1414
3,13204.4,75433.9,-3.89E+03,47,264,3217
2,4079.57,1479.75,-938.461,41,52,133
0,10380,18576,-3511,21,204,980
0,20207.6,256866,-9971,257,407,8474
3,8297.59,25210.3,-3227.74,27,157,1519
4,22989.3,515466,-11671.2,144,540,18067
2,12462.6,73467.7,-3.37E+03,26,249,3630
4,13775.9,62344.1,-5.81E+03,34,247,2754
4,7392.1,4171.09,-2217.93,71,101,249
2,9105.82,51150.1,-3.78E+03,31,188,2599
0,8066.08,45495,-4864,42,172,2455
0,22069.4,212441,-14222,64,586,7472
2,6250.94,7491.51,-1620.9,48,93,545
3,8222.98,9630.49,-2881.84,20,138,554
4,10645.9,26665.6,-866.476,0,158,1403
0,10304.9,32520,-6419,96,205,1637
3,11143.7,85912.1,-3.56E+03,19,220,3450
3,18909,251775,-1.29E+04,76,540,8870
3,6814.81,5451.88,-2183.84,57,107,346
0,14712.5,209828,-8922,82,366,8468
3,10653.1,37869.5,-4189.67,105,205,1751
3,10729.6,38417.4,-3776.92,33,193,2118
3,6403.82,10297,-3.09E+03,15,109,689
3,14590.1,96281.5,-5732.6,48,294,4249
2,3879.76,1442.88,-971.914,41,52,133
0,7402.95,14971.5,-2726.71,70,131,971
0,12842.9,75890,-6717,30,275,3625
3,15503,59527.6,-4.76E+03,35,215,2188
1,5411.02,4345.49,-7.95E+02,16,88,292
3,10436.6,56838.4,-4534.93,144,217,2904
0,16723.8,120652,-9410.48,42,379,4825
3,13634.9,80896.8,-5.71E+03,55,272,3539
4,8722.93,11033.7,-3401.7,34,156,654
1,5691.93,5129.12,-1.46E+03,22,85,343
3,11217,84806.5,-2.85E+03,22,220,3450
0,12696,49791,-6624,53,288,2258
1,5045.71,4259.9,-1.60E+03,13,88,292
5,3778.36,2172.43,-569.854,6,43,161
4,6048.71,11240,-1890.35,25,102,764
0,20182.4,240663,-13288,126,555,8486
4,5488.49,7126.37,-1689.93,53,93,545
0,14088.9,103561,-7853,45,288,4344
5,9368.85,30572.6,-3260.75,113,171,1747
0,9908.07,18263,-4163,30,165,1018
5,9147.03,38023.8,-3832.24,39,180,2054
2,5353.26,4193.88,-1.18E+03,13,79,317
5,23778.7,282030,-9480.85,72,468,9276
4,6405.36,11450,-1897.42,23,102,764
1,5936.36,4830.26,-1.69E+03,24,85,343
4,5070.81,2965.58,-1195.34,45,67,224
5,9201.33,37761.4,-3824.71,41,180,2054
3,15667.5,90636.6,-1.99E+03,53,223,2059
0,17506.3,63952,-6749,68,292,2756
3,7513.77,9534.94,-2606.67,18,123,621
4,9287.96,27627.7,-2992.37,102,158,1403
0,5192.78,3141,-2237,24,89,223
2,2571.86,48.8687,-4.47E+02,8,33,5
0,12370.6,75520.9,-6253.72,33,262,3211
2,8653.75,12177.1,-2449.26,80,128,693
3,7008.46,13343.6,-1495.93,16,96,804
0,11957.7,82173,-7083,169,295,3551
0,15060.2,96047.4,-8517.56,183,340,3633
0,7264.29,16290,-3626,30,139,1017
2,11285.9,113507,-4.00E+03,45,235,4905
0,20229.4,205363,-10957,106,403,6983
1,9215.98,17570.2,-4273.69,32,183,931
0,5025.06,3938,-2767,5,90,271
0,13680,53628,-4975,143,230,2196
5,27054.1,256608,-9.40E+03,88,537,8350
0,10975,18567,-5421,29,214,982
3,8487.57,28562.1,-2858.64,86,156,1521
3,10961.7,83593.5,-2.17E+03,25,220,3450
4,10360.9,55000.3,-1.51E+03,47,188,2599
0,8041.01,9047,-2613,26,146,523
4,11126.6,90190.5,-7.43E+03,57,254,3885
5,10485.8,58958.6,-4515.95,84,217,2904
2,16150.3,115685,-5.31E+03,57,271,4426
3,2508.42,51.6632,-2.74E+02,96,33,5
3,20687.8,145184,-5.59E+03,70,449,5537
4,8758.69,11405.5,-3114.74,40,156,654
0,14231.4,126441,-10153,59,348,5022
3,8746.53,38912.9,-4.27E+03,30,196,1885
2,5316.79,3612.18,-815.13,48,51,132
4,12393.8,59692.9,-2.37E+03,52,223,2822
0,14688,108935,-7495,29,338,4347
2,15559,116197,-5.02E+03,61,271,4426
2,12988.4,50984.2,-4.32E+03,33,234,2464
3,7185.09,14036.6,-2422.49,91,120,809
3,13911.1,50102.7,-2.00E+03,63,223,2059
2,3979.11,1407.3,-933.349,32,52,133
2,4022.14,2115.05,-1047.73,22,54,165
3,13567,56851.6,-3.26E+03,62,224,2192
3,22710.4,474799,-1.36E+04,50,483,15505
0,6505.27,12110,-2084,12,129,767
2,8088.14,9595.48,-2918.91,98,130,490
4,13310.8,46894.3,-5846.04,63,273,2061
5,13138.6,59784.5,-2.07E+03,48,223,2822
4,9935.1,38684.3,-3970.25,32,193,2118
2,21777.8,167708,-7.07E+03,86,449,5537
0,13855.9,93626,-6333,25,271,4158
2,6458.09,13316.7,-1575.52,14,96,804
3,9351.05,25740,-3165.06,25,174,1415
5,9367.28,30800.8,-3287.19,129,171,1747
4,8999.86,26452.4,-1.44E+03,24,166,1414
4,10111.9,34775.7,-4263.32,122,208,1691
3,13535,93081.1,-5.00E+03,74,254,3885
4,18942,160807,-9.03E+03,90,388,6290
1,2548.91,51.2572,-3.98E+02,6,33,5
3,8209.87,9847.93,-2862.33,27,138,554
0,10505.3,59817,-5665,45,213,3051
3,7305,14119.8,-2360.56,90,120,809
2,4894.36,3492.81,-913.578,49,51,132
3,11748.2,47734,-5.51E+03,23,215,2188
4,13016.8,75834.1,-5570.78,30,262,3211
4,14093.1,62678.6,-1.05E+03,53,223,2822
0,8249.55,9246,-2599,16,120,483
3,9167.92,39267.8,-2.20E+03,16,196,1885
